From	Entry	Entry Name	Protein names	Gene Names	Organism	Reviewed
AT3G52190	Q8GYE0	PHF1_ARATH	SEC12-like protein 1 (Protein PHOSPHATE TRANSPORTER TRAFFIC FACILITATOR 1) (PHF-1)	PHF1 At3g52190 F4F15.300	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G63310	Q9M1V9	LFG2_ARATH	Protein LIFEGUARD 2 (AtLFG2) (Protein BRZ-INSENSITIVE-LONG HYPOCOTYLS 4)	LFG2 BIL4 At3g63310 MAA21.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G58200	Q8L7W1	MSL3_ARATH	Mechanosensitive ion channel protein 3, chloroplastic (Mechanosensitive channel of small conductance-like 3) (MscS-Like protein 3)	MSL3 At1g58200 F16M22.2 T18I24.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G39290	O80952	PGPS1_ARATH	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 1, chloroplastic/mitochondrial (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase 1) (PGP synthase 1) (Protein JOVTENKY)	PGPS1 JOV PGP1 PGS1 At2g39290 T16B24.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G53720	Q9M353	CHX20_ARATH	Cation/H(+) antiporter 20 (Protein CATION/H+ EXCHANGER 20) (AtCHX20)	CHX20 At3g53720 F5K20_20	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G55380	Q9FJ72	WAXS1_ARATH	Probable long-chain-alcohol O-fatty-acyltransferase 1 (EC 2.3.1.75) (Wax synthase 1)	AT1 At5g55380 MTE17.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G58560	Q67ZM7	FOLK_ARATH	Farnesol kinase, chloroplastic (EC 2.7.1.216)	FOLK At5g58560 MZN1.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G20300	Q8RWW0	ALE2_ARATH	Receptor-like serine/threonine-protein kinase ALE2 (EC 2.7.11.1) (Protein ABNORMAL LEAF SHAPE 2)	ALE2 At2g20300 F11A3.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G80830	Q9SAH8	NRAM1_ARATH	Metal transporter Nramp1 (AtNramp1)	NRAMP1 PMIT1 At1g80830 F23A5.18	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G79680	Q8VYA3	WAKLJ_ARATH	Wall-associated receptor kinase-like 10 (EC 2.7.11.-)	WAKL10 At1g79680 F20B17.10	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G17690	Q8H1E7	NOF1_ARATH	Protein NUCLEOLAR FACTOR 1	NOF1 At1g17690 F11A6.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G22500	Q9SK92	ATL15_ARATH	E3 ubiquitin-protein ligase ATL15 (EC 2.3.2.27) (RING-H2 finger protein ATL15) (RING-type E3 ubiquitin transferase ATL15)	ATL15 At1g22500 F12K8.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G40420	Q39165	OLEO2_ARATH	Oleosin 21.2 kDa (Oleosin type 2)	At5g40420 MPO12.17	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G05630	Q9SYK4	IP5PD_ARATH	Type I inositol polyphosphate 5-phosphatase 13 (At5PTase13) (EC 3.1.3.56)	IP5P13 5PTASE13 IPP6 At1g05630 F3F20.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G17895	Q9FPS7	UBP20_ARATH	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (AtUBP20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20)	UBP20 At4g17895 T6K21.70	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G12860	Q9LXV3	DIT1_ARATH	Dicarboxylate transporter 1, chloroplastic (2-oxoglutarate/malate translocator 1) (AtpOMT1)	DIT1 At5g12860 T24H18.30	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G20940	C0LGQ9	GHR1_ARATH	LRR receptor-like serine/threonine-protein kinase GHR1 (EC 2.7.11.1) (Protein GUARD CELL HYDROGEN PEROXIDE-RESISTANT 1) (AtGHR1) (Protein RADICAL-INDUCED CELL DEATH 7)	GHR1 RCD7 At4g20940 T13K14.100	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G44650	Q9LU01	Y3IP1_ARATH	Ycf3-interacting protein 1, chloroplastic (Protein CHLOROPLAST ENHANCING STRESS TOLERANCE) (AtCEST)	Y3IP1 CEST At5g44650	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G61800	Q94B38	GPT2_ARATH	Glucose-6-phosphate/phosphate translocator 2, chloroplastic (AtGPT2)	GPT2 At1g61800 F8K4.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G42420	Q9FIH5	URGT3_ARATH	UDP-rhamnose/UDP-galactose transporter 3 (UDP-Rha/UDP-Gal transporter 3) (Bi-functional UDP-rhamnose/UDP-galactose transporter)	URGT3 At5g42420 MDH9.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G43890	O23657	RABC1_ARATH	Ras-related protein RABC1 (AtRABC1) (Ras-related protein Rab18) (AtRab18)	RABC1 RAB18 RAB18-1 At1g43890 F28H19.15 F9C16.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G47910	Q9FIJ0	RBOHD_ARATH	Respiratory burst oxidase homolog protein D (EC 1.11.1.-) (EC 1.6.3.-) (NADPH oxidase RBOHD) (AtRBOHD)	RBOHD At5g47910 MCA23.25	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G22840	P93735	ELIP1_ARATH	Early light-induced protein 1, chloroplastic	ELIP1 ELIP At3g22840 MWI23.21	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G00350	F4JH46	DTX34_ARATH	Protein DETOXIFICATION 34 (AtDTX34) (Multidrug and toxic compound extrusion protein 34) (MATE protein 34)	DTX34 At4g00350 A_IG005I10.20 F5I10.20	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G70490	P0DH91	ARF2B_ARATH	ADP-ribosylation factor 2-B (AtARF2) (ARF1-like protein U5)	ARF2-B ARFA1-D ARFA2-B U5 At1g70490 F20B24.21 F24J13.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G37250	Q9ZUU1	KAD1_ARATH	Adenylate kinase 1, chloroplastic (AK 1) (AtPADK1) (EC 2.7.4.3) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase 1) (AMK1)	ADK At2g37250 F3G5.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G42430	Q9SLB7	LBD16_ARATH	LOB domain-containing protein 16 (ASYMMETRIC LEAVES 2-like protein 18) (AS2-like protein 18)	LBD16 ASL18 At2g42430 MHK10.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G16860	F4JNA9	RPP4_ARATH	Disease resistance protein RPP4 (EC 3.2.2.6) (Protein CHILLING-SENSITIVE 2) (Protein RECOGNITION OF PERONOSPORA PARASITICA 4)	RPP4 CHS2 At4g16860 dl4460c	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G21960	Q9SB81	PER42_ARATH	Peroxidase 42 (Atperox P42) (EC 1.11.1.7) (ATP1a/ATP1b) (PRXR1)	PER42 P42 At4g21960 F1N20.3 T8O5.170	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G30140	O64733	U87A2_ARATH	UDP-glycosyltransferase 87A2 (EC 2.4.1.-)	UGT87A2 At2g30140 T27E13.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G29120	Q8LGN0	GLR27_ARATH	Glutamate receptor 2.7 (Ligand-gated ion channel 2.7)	GLR2.7 At2g29120 T9I4.20	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G51480	Q84W41	GLR36_ARATH	Glutamate receptor 3.6 (Ligand-gated ion channel 3.6)	GLR3.6 At3g51480 F26O13.120	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G17260	Q7XJL2	GLR31_ARATH	Glutamate receptor 3.1 (AtGLR2) (Ligand-gated ion channel 3.1)	GLR3.1 ACL1 GLR2 At2g17260 F5J6.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G42540	Q9C8E7	GLR33_ARATH	Glutamate receptor 3.3 (AtGLR3.3) (Glutamate receptor-like protein 3.3) (Ligand-gated ion channel 3.3)	GLR3.3 At1g42540 T8D8.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G32400	Q9SDQ4	GLR37_ARATH	Glutamate receptor 3.7 (Ionotropic glutamate receptor GLR5) (Ligand-gated ion channel 3.7)	GLR3.7 GLR5 At2g32400 T32F6.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G48640	Q9FJK6	CCC11_ARATH	Cyclin-C1-1 (CycC1;1)	CYCC1-1 At5g48640 K15N18.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G20010	Q9LHE4	CHR27_ARATH	Helicase-like transcription factor CHR27 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 27) (Protein SNF2-RING-HELICASE-LIKE 1)	CHR27 FRG1 At3g20010 MZE19.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G18880	O49403	HFA4A_ARATH	Heat stress transcription factor A-4a (AtHsfA4a) (AtHsf-15) (Heat shock factor protein 21) (HSF 21) (Heat shock transcription factor 21) (HSTF 21)	HSFA4A HSF15 HSF21 At4g18880 F13C5.50	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G32240	Q9C616	KAN2_ARATH	Probable transcription factor KAN2 (Protein KANADI 2)	KAN2 At1g32240 F27G20.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G28190	Q8GZA8	ULT1_ARATH	Protein ULTRAPETALA 1	ULT1 At4g28190 F26K10.70	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G66240	Q94BT9	ATOX1_ARATH	Copper transport protein ATX1 (Copper chaperone ATX1)	ATX1 At1g66240 T6J19.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G00270	Q9ASZ1	STKLO_ARATH	GLABROUS1 enhancer-binding protein (Probable transcription factor At4g00270) (Protein GeBP) (Protein STOREKEEPER RELATED 1) (Storekeeper-like protein At4g00270)	GEBP STKR1 At4g00270 F5I10.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G36340	Q9SJM4	STKLI_ARATH	GLABROUS1 enhancer-binding protein-like 3 (Protein GPL3) (Storekeeper-like protein At2g36340)	GPL3 At2g36340 F2H17.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G46710	Q8GYY5	RGAP3_ARATH	Rho GTPase-activating protein 3 (Rho-type GTPase-activating protein 3)	ROPGAP3 At2g46710 T3A4.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G07350	Q84TH4	SR45A_ARATH	Serine/arginine-rich splicing factor SR45a (At-SR45A) (AtSR45a) (Protein TRANSFORMER2-like) (atTra2)	SR45A TRA2 At1g07350 F22G5.31	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G45160	Q7XJM8	SCL27_ARATH	Scarecrow-like protein 27 (AtSCL27) (GRAS family protein 14) (AtGRAS-14)	SCL27 At2g45160 T14P1.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G11260	Q8H1D2	WOX5_ARATH	WUSCHEL-related homeobox 5	WOX5 At3g11260 F11B9.18	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G57520	Q94A08	RFS2_ARATH	Probable galactinol--sucrose galactosyltransferase 2 (EC 2.4.1.82) (Protein SEED IMBIBITION 2) (Raffinose synthase 2)	RFS2 RS2 SIP2 At3g57520 T8H10.120	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G14010	Q94AM9	CID4_ARATH	Polyadenylate-binding protein-interacting protein 4 (PABP-interacting protein 4) (Poly(A)-binding protein-interacting protein 4) (PAM2-containing protein CID4) (Protein CTC-INTERACTING DOMAIN 4)	CID4 At3g14010 MDC16.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G34110	P42731	PABP2_ARATH	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2)	PAB2 At4g34110 F28A23.130	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G11330	Q39025	MPK5_ARATH	Mitogen-activated protein kinase 5 (AtMPK5) (MAP kinase 5) (EC 2.7.11.24)	MPK5 At4g11330 F8L21.120	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G18980	Q9LJ68	FB162_ARATH	F-box protein ETP1 (EIN2 targeting protein 1)	ETP1 At3g18980 K13E13.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G18910	Q9LJ74	FB161_ARATH	F-box protein ETP2 (EIN2 targeting protein 2)	ETP2 At3g18910 K13E13.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G41990	Q944Q0	WNK8_ARATH	Serine/threonine-protein kinase WNK8 (AtWNK8) (EC 2.7.11.1) (Protein kinase with no lysine 8)	WNK8 At5g41990 MJC20.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G12140	Q945Q1	CYT1_ARATH	Cysteine proteinase inhibitor 1 (AtCYS-1)	CYS1 CYS At5g12140 MXC9.10	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G17880	Q8VWG7	TDX_ARATH	TPR repeat-containing thioredoxin TDX (HSP70-interacting protein 2) (AtHIP2) (Tetratricoredoxin) (AtTDX)	TDX At3g17880/At3g17870 MEB5.10/MEB5.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G05460	Q8GYD9	SDE3_ARATH	Probable RNA helicase SDE3 (EC 3.6.4.13) (Silencing defective protein 3)	SDE3 At1g05460 T25N20.11 T25N20.26	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G55620	Q9M060	IF62_ARATH	Eukaryotic translation initiation factor 6-2 (AteIF-6;2)	EIF6-2 EMB1624 At3g55620 F1I16.30	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G27000	Q9LSD6	ARP2_ARATH	Actin-related protein 2 (Protein WURM)	ARP2 WRM At3g27000 MOJ10.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G30910	O80856	ARC1A_ARATH	Actin-related protein 2/3 complex subunit 1A (Actin-related protein C1) (Actin-related protein C1A) (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1A At2g30910 F7F1.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G29170	Q9LP46	SCAR3_ARATH	Protein SCAR3 (AtSCAR3) (Protein WAVE2)	SCAR3 At1g29170 F28N24.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G01710	Q9M117	ARC5A_ARATH	Actin-related protein 2/3 complex subunit 5A (Actin-related protein C5A) (Arp2/3 complex 16 kDa subunit) (p16-ARC) (Protein CROOKED)	ARPC5A CRK At4g01710 T15B16.22	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G18600	Q5XPK0	SCARL_ARATH	Scar-like domain-containing protein WAVE 5	WAVE5 At4g18600 F28J12.260	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G16340	Q8SAB7	SPK1_ARATH	Guanine nucleotide exchange factor SPIKE 1	SPK1 At4g16340 dl4200c FCAALL.346	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G01730	Q5XPJ6	SCAR4_ARATH	Protein SCAR4 (AtSCAR4) (Protein WAVE3)	SCAR4 At5g01730 F7A7.250	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G14980	F4IXE7	IDM1_ARATH	Increased DNA methylation 1 (Histone H3 acetyltransferase IDM1) (EC 2.3.1.-) (Protein ROS4) (Repressor of silencing 4)	IDM1 ROS4 At3g14980 K15M2.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G11770	Q9SF21	RICE1_ARATH	Protein RISC-INTERACTING CLEARING 3'-5' EXORIBONUCLEASE 1 (EC 3.1.13.1)	RICE1 At3g11770 F26K24.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G20870	Q9SYQ0	IDM3_ARATH	Increased DNA methylation 3 (Alpha-crystallin domain-containing protein 51.9) (AtAcd51.9)	IDM3 Acd51.9 At1g20870 F9H16.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G51240	Q9S818	FL3H_ARATH	Naringenin,2-oxoglutarate 3-dioxygenase (Naringenin 3-dioxygenase) (EC 1.14.11.9) (F3H) (Flavanone 3-hydroxylase) (Protein TRANSPARENT TESTA 6)	F3H TT6 At3g51240 F24M12.280	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G42800	P51102	DFRA_ARATH	Dihydroflavonol 4-reductase (DFR) (EC 1.1.1.219) (Dihydrokaempferol 4-reductase) (Flavanone 4-reductase) (FNR) (EC 1.1.1.234) (Protein TRANSPARENT TESTA 3)	DFRA DFR TT3 At5g42800 MJB21.18	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G42380	F4IN23	BZP34_ARATH	Basic leucine zipper 34 (AtbZIP34) (bZIP protein 34)	BZIP34 At2g42380 MHK10.10	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G58120	Q9M2K4	BZP61_ARATH	Basic leucine zipper 61 (AtbZIP61) (bZIP protein 61)	BZIP61 At3g58120 F9D24.30	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G38800	Q9FMC2	BZP43_ARATH	Basic leucine zipper 43 (AtbZIP43) (bZIP protein 43)	BZIP43 At5g38800 K15E6.1	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G22090	Q9SHZ6	UBA1A_ARATH	UBP1-associated proteins 1A (UBP1-interacting protein 1a)	UBA1A At2g22090 T16B14.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G32780	Q9FPT5	UBP1_ARATH	Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (AtUBP1) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1)	UBP1 At2g32780 F24L7.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G07530	Q9XE58	SCL14_ARATH	Scarecrow-like protein 14 (AtSCL14) (GRAS family protein 2) (AtGRAS-2)	SCL14 At1g07530 F22G5.9	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G50600	Q8H125	SCL5_ARATH	Scarecrow-like protein 5 (AtSCL5) (GRAS family protein 6) (AtGRAS-6)	SCL5 At1g50600 F11F12.8 F17J6.12	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G14713	Q7XA73	TIF4A_ARATH	Protein TIFY 4A (Protein PEAPOD 1)	TIFY4A PPD1 At4g14713 FCAALL	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G38810	Q9SII0	H2AV2_ARATH	Probable histone H2A variant 2 (H2A.F/Z 2) (HTA8)	At2g38810 F13I13.4	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G41090	P30187	CML10_ARATH	Calmodulin-like protein 10 (22 kDa calmodulin-like calcium-binding protein) (CABP-22)	CML10 At2g41090 T3K9.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G67080	Q8LFP9	ABA4_ARATH	Protein ABA DEFICIENT 4, chloroplastic	ABA4 At1g67080 F1O19.13	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G75100	Q9C9Q4	JAC1_ARATH	J domain-containing protein required for chloroplast accumulation response 1	JAC1 At1g75100 F9E10.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G30890	Q9FPS3	UBP24_ARATH	Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (AtUBP24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)	UBP24 At4g30890 F6I18.200	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G79110	F4IDI6	BRG2_ARATH	Probable BOI-related E3 ubiquitin-protein ligase 2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRG2)	BRG2 At1g79110 YUP8H12R.27	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G12920	Q9LDD1	BRG3_ARATH	Probable BOI-related E3 ubiquitin-protein ligase 3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRG3)	BRG3 At3g12920 MGH6.3	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G10950	Q940G0	TMN1_ARATH	Transmembrane 9 superfamily member 1 (Endomembrane protein 12) (Transmembrane nine protein 1) (AtTMN1)	TMN1 EMP12 At1g10950 T19D16.13	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G08970	Q9SR96	DNJ63_ARATH	DnaJ protein ERDJ3A (Chaperone protein dnaJ 63) (AtDjA63) (AtJ63) (Endoplasmic reticulum dnaJ domain-containing protein 3A) (AtERdj3A) (Protein SCJ1 homolog ERDJ3A) (Protein THERMOSENSITIVE MALE STERILE 1)	ERDJ3A A63 TMS1 At3g08970 T16O11.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G26940	Q9LSE1	CDG1_ARATH	Serine/threonine-protein kinase CDG1 (EC 2.7.11.1) (Protein CONSTITUTIVE DIFFERENTIAL GROWTH 1)	CDG1 At3g26940 MOJ10.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G02800	Q0WRY5	PBL7_ARATH	Probable serine/threonine-protein kinase PBL7 (EC 2.7.11.1) (CDG1-like protein 1) (PBS1-like protein 7)	PBL7 CDL1 At5g02800 F9G14.110	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G27210	Q9SHS7	BSL3_ARATH	Serine/threonine-protein phosphatase BSL3 (EC 3.1.3.16) (BSU1-like protein 3)	BSL3 At2g27210 T22O13.2	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G78510	Q8S948	SPS1_ARATH	Solanesyl diphosphate synthase 1, chloroplastic (AtSPS1) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 1 (geranylgeranyl-diphosphate specific)) (Geranylgeranyl diphosphate synthase) (EC 2.5.1.29)	SPS1 SPPS SPS At1g78510 T30F21.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G36810	P34802	GGPP1_ARATH	Heterodimeric geranylgeranyl pyrophosphate synthase large subunit 1, chloroplastic (GGPP synthase 1) (GGPS1) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase 1) (Dimethylallyltranstransferase 1) (EC 2.5.1.1) (Farnesyl diphosphate synthase 1) (Farnesyltranstransferase 1) (EC 2.5.1.29) (Geranyltranstransferase 1) (EC 2.5.1.10)	GGPPS1 GGPPS11 GGPS1 At4g36810 C7A10.550	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G05880	Q84RQ9	ARI12_ARATH	Probable E3 ubiquitin-protein ligase ARI12 (EC 2.3.2.31) (ARIADNE-like protein ARI12) (Protein ariadne homolog 12) (RING-type E3 ubiquitin transferase ARI12)	ARI12 At1g05880 T20M3.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G13900	Q9LMG7	PPA2_ARATH	Probable inactive purple acid phosphatase 2	PAP2 At1g13900 F16A14.11	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G34160	O22969	Y2416_ARATH	Uncharacterized protein At2g34160	At2g34160 T14G11.28	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G04160	F4I460	MYO8_ARATH	Myosin-8 (Myosin XI B) (AtXIB)	XI-B XIB At1g04160 F20D22.7	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G45860	Q9FJ50	PYL11_ARATH	Abscisic acid receptor PYL11 (PYR1-like protein 11) (Regulatory components of ABA receptor 5)	PYL11 RCAR5 At5g45860 K15I22.6	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G37280	Q94C32	MRG1_ARATH	Protein MRG1 (MRG family protein 1) (Morf Related Gene 1)	MRG1 At4g37280 C7A10.80	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G02740	Q4V3E2	MRG2_ARATH	Protein MRG2 (MRG family protein 2) (Morf Related Gene 2)	MRG2 At1g02740 F22D16.25	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT4G34740	Q9STG9	ASE2_ARATH	Amidophosphoribosyltransferase 2, chloroplastic (AtATase2) (AtPURF2) (PRPP2) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 2) (AtGPRAT2) (Protein CHLOROPLAST IMPORT APPARATUS 1) (Protein DIFFERENTIAL DEVELOPMENT OF VASCULAR ASSOCIATED CELLS)	ASE2 CIA1 DOV1 GPRAT2 PURF2 At4g34740 T4L20.320	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT5G48120	Q0WVF8	MMS19_ARATH	MMS19 nucleotide excision repair protein homolog (MET18 homolog) (MMS19-like protein)	MMS19 MET18 At5g48120 MDN11.21	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G69490	O49255	NAC29_ARATH	NAC transcription factor 29 (AtNAC029) (Protein NAC-LIKE, ACTIVATED BY AP3/PI) (AtNAP)	NAC029 ANAC029 NAC29 NAP At1g69490 F10D13.14	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G76420	Q9S851	NAC31_ARATH	Protein CUP-SHAPED COTYLEDON 3 (NAC domain-containing protein 31) (ANAC031) (NAC domain-containing protein CUC3)	NAC031 CUC3 NAC368 At1g76420 F14G6.2 F15M4.8	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G17050	Q76FS5	SPS2_ARATH	Solanesyl diphosphate synthase 2, chloroplastic (AtSPS2) (EC 2.5.1.85) (All-trans-nonaprenyl-diphosphate synthase 2 (geranylgeranyl-diphosphate specific))	SPS2 SPPS At1g17050 F20D23.25	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G45860	Q9LZU4	CRK4_ARATH	Cysteine-rich receptor-like protein kinase 4 (Cysteine-rich RLK4) (EC 2.7.11.-)	CRK4 At3g45860 F16L2_70	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G31650	Q56WM6	ROGFE_ARATH	Rop guanine nucleotide exchange factor 14 (AtRopGEF14) (Rho of plants guanine nucleotide exchange factor 14)	ROPGEF14 At1g31650 F27M3.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT3G50870	Q8LC79	GAT18_ARATH	GATA transcription factor 18 (Protein HANABA TARANU)	GATA18 HAN At3g50870 F18B3.150	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G68480	Q6S591	JAG_ARATH	Zinc finger protein JAGGED	JAG At1g68480 T26J14.5	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G29400	Q8VWF5	AML5_ARATH	Protein MEI2-like 5 (AML5) (MEI2-like protein 5)	ML5 At1g29400 F15D2.30	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT2G47020	A2RVR7	MTRF1_ARATH	Peptide chain release factor 1, mitochondrial (AtmtRF1)	At2g47020 F14M4.15	Arabidopsis thaliana (Mouse-ear cress)	reviewed
AT1G26340	Q9FDW8	CYB5A_ARATH	Cytochrome b5 isoform A (AtCb5-A) (Cytochrome b5 isoform D) (AtCb5-D)	CB5-A CB5-D At1g26340 F28B23.1 T1K7.28	Arabidopsis thaliana (Mouse-ear cress)	reviewed
